Time,Signal,Noisy Signal
0.0,0.0,0.022277447400662426
0.005,3.469207071737183,3.3317932228596203
0.01,0.48775971087677916,0.592030614523724
0.015,0.5181106888914428,0.43562674568533727
0.02,1.6942061522884084,1.263388445238435
0.025,-1.3564579836035469,-1.2685723967456362
0.03,-0.4915433059861631,-0.7177277844130875
0.035,2.353616913794605,2.15426362309459
0.04,-0.008797127523337389,0.05541668158818981
0.045,-0.7479088200392026,-1.016216738794938
0.05,1.7058192410423678,1.7601748782508282
0.055,1.6979375649847266,1.9904652365406974
0.06,2.028187014458595,1.9760309831424419
0.065,2.8401457164745114,2.6504852348111476
0.07,0.6706023454257541,0.6074219946353155
0.075,-1.106573029074264,-0.7448637858673798
0.08,-0.6917806450438405,-0.5026238122164121
0.085,0.46035770749503724,0.554816246948453
0.09,1.8933785717547877,1.6362207085068552
0.095,1.491944958962915,1.3489062611603961
0.1,0.5877852522924748,0.6314812602128799
0.105,1.2094695285099477,1.1930815596520687
0.11,0.3615738059143241,0.46315217307978096
0.115,-0.0343635570035028,0.06762309942790269
0.12,1.4131639828854106,1.3794664530108403
0.125,-0.9999999999999961,-0.760363555874927
0.13,-3.195035981499814,-3.3077820867912804
0.135,0.06796862611593901,0.12300574701319963
0.14,0.7981762273457155,0.40686206196228697
0.145,-0.3726872736980853,-0.54741643344463
0.15,2.069090505045041,1.8365983660780056
0.155,0.30982898631148287,0.1991122872939634
0.16,-3.8741871839253244,-3.7671173690441413
0.165,-1.205535294728033,-1.5218374979723905
0.17,0.14808594220449722,0.05269757598933039
0.17500000000000002,-2.6877118591584566,-2.6290151945477
0.18,-0.8628525852088775,-0.7191365494960493
0.185,0.1722484532265134,0.022796247324983893
0.19,-2.4654690977577403,-2.610047214168912
0.195,-0.10413001905394914,-0.12152024246928132
0.2,2.1266270208800986,2.2602736668873433
0.20500000000000002,-1.3100431897478524,-1.194591579326774
0.21,-2.4009967784385653,-2.4157003921181355
0.215,-1.5372594293427557,-1.5261655920759578
0.22,-2.526901759858972,-2.6682846231930037
0.225,-0.8427148352305402,-0.7263130780162742
0.23,1.5918662388763818,1.6651121956764765
0.23500000000000001,0.6181074811622456,0.5482192724020867
0.24,-0.325675447886025,-0.327183006997436
0.245,-0.2224328007765407,-0.044216865309743614
0.25,2.4424906541753444e-15,-0.19262119021646348
0.255,0.5630397917867225,0.568095710986123
0.26,-0.25184368946210733,-0.41673834110029384
0.265,-0.8956365478858276,-0.9742127320453855
0.27,-0.1454500197469366,0.035150366461749016
0.275,-0.22468084648064462,-0.34077815312137083
0.28,1.4943556512058778,1.314968444669212
0.28500000000000003,3.984049915694315,4.12609514484334
0.29,1.3930023897922283,1.213967247543644
0.295,-0.7439022576145604,-0.7824053369340851
0.3,0.9510565162951498,1.1224481312977228
0.305,-0.32738830698241406,-0.5823556894099677
0.31,-0.5904138948292121,-0.6950842183431356
0.315,3.00539917795693,3.264788351832824
0.32,1.3484352234496113,1.4296940195422934
0.325,-1.0696778704085608,-1.029237607619425
0.33,2.5846992921357,2.7684801407095447
0.335,2.6773069164881806,2.7039268541918355
0.34,-0.08644077438859077,-0.19860332586758145
0.34500000000000003,1.5707769564142988,1.4571586904804914
0.35000000000000003,0.16697747245472327,0.47799689410628504
0.355,-3.2333073987285395,-3.0511943795506493
0.36,0.0735382101819061,-0.0728558091171099
0.365,2.4811375151686836,2.491323145416232
