Time,Signal
0.0,0.0
0.005,3.523926786069134
0.01,0.39811237968269164
0.015,1.3889810480306797
0.02,-1.2330571833955708
0.025,-0.13379475255292675
0.03,2.1122466410843943
0.035,2.379735854808101
0.04,-0.5355747097001013
0.045,-2.471194552580184
0.05,-0.760073510670103
0.055,-2.162395192992671
0.06,2.064667095343599
0.065,-0.2632220418908095
0.07,-2.838598404276585
0.075,0.03663182429998174
0.08,-0.8276998626946059
0.085,2.1363635029863177
0.09,1.971109055696505
0.095,0.6322745325221121
0.1,-0.8122992405822663
0.105,0.8754232573800791
0.11,1.4188627649248007
0.115,-0.48880391605748585
0.12,1.5652192143391654
0.125,-2.828427124746189
0.13,-1.2871885669999679
0.135,0.29973125218576935
0.14,-1.8395604559307948
0.145,0.4163120943969715
0.15,-0.7212317420824751
0.155,-0.15852849950982517
0.16,0.14265830897410248
0.165,1.6369246806896798
0.17,0.24106393269637882
0.17500000000000002,0.7946220512549318
0.18,2.5278045830275047
0.185,-1.2895780909093535
0.19,1.3253211681863442
0.195,-0.8807164551855386
0.2,-1.5388417685876261
0.20500000000000002,1.0365398319618475
0.21,-1.1766892429565425
0.215,-1.170062235190366
0.22,-1.7802500548083473
0.225,-0.30322127189589465
0.23,-0.30587020518271946
0.23500000000000001,2.2676521313126097
0.24,0.9042078055365147
0.245,-1.778900249067831
0.25,1.9999999999999978
0.255,0.03075385586420737
0.26,2.4452342910880747
0.265,1.7702723569828993
0.27,-2.2704447066400926
0.275,-1.478791776480839
0.28,-0.8167427066049158
0.28500000000000003,0.8259912216661671
0.29,-0.4404401375871758
0.295,-0.3325543798955291
0.3,-3.440954801177919
0.305,-1.1313829223141467
0.31,3.0139770191903805
0.315,0.399077760094677
0.32,2.277138115898893
0.325,-1.1074909813353744
0.33,-1.128030279160987
0.335,2.373173786059019
0.34,2.1387117658306156
0.34500000000000003,0.8049788486935856
0.35000000000000003,-1.896802246667419
0.355,-1.5482624070604136
0.36,-2.336940230260532
0.365,1.8407577377373183
0.37,0.5224655379320875
0.375,-2.8284271247461965
0.38,-0.24443489059287837
0.385,-2.0298304016090754
0.39,1.916242539254514
0.395,2.8399977588374767
0.4,0.36327126400268817
0.405,-0.3312328156813156
0.41000000000000003,-0.02494440116002021
0.41500000000000004,1.4001143976169448
0.42,0.5413943491627775
0.425,1.9387448568902825
0.43,-2.5879319371479754
0.435,-1.951877892894844
0.44,0.3760112443395809
0.445,-1.9117287258640552
0.45,1.1420395219202142
0.455,-1.1021003407228211
0.46,-1.2718238150694525
0.465,0.3836823979515698
0.47000000000000003,1.1487392928809597
0.47500000000000003,1.0417757520320126
0.48,0.7315173180617847
0.485,1.886360822360389
0.49,-1.1429141058688752
0.495,1.7142726811370734
0.5,1.3713568227904002e-14
0.505,-1.7142726811370927
0.51,1.1429141058688699
0.515,-1.8863608223603885
0.52,-0.7315173180617911
0.525,-1.0417757520320328
0.53,-1.148739292880982
0.535,-0.3836823979515316
0.54,1.2718238150694536
0.545,1.102100340722799
0.55,-1.1420395219201902
0.555,1.9117287258640734
0.56,-0.37601124433959765
0.5650000000000001,1.9518778928948939
0.5700000000000001,2.587931937147895
0.5750000000000001,-1.938744856890288
0.58,-0.5413943491627812
0.585,-1.4001143976169552
0.59,0.024944401160009663
0.595,0.331232815681348
0.6,-0.3632712640026604
0.605,-2.8399977588374488
0.61,-1.9162425392545122
0.615,2.0298304016090536
0.62,0.24443489059286683
0.625,2.8284271247461827
0.63,-0.5224655379320047
0.635,-1.8407577377373823
0.64,2.336940230260513
0.645,1.5482624070603928
0.65,1.8968022466673997
0.655,-0.8049788486935994
0.66,-2.138711765830629
0.665,-2.3731737860590285
0.67,1.128030279161031
0.675,1.1074909813353466
0.68,-2.277138115898857
0.685,-0.3990777600946711
0.6900000000000001,-3.013977019190358
0.6950000000000001,1.1313829223142193
0.7000000000000001,3.440954801177911
0.705,0.3325543798955573
0.71,0.44044013758720935
0.715,-0.8259912216661837
0.72,0.816742706604918
0.725,1.4787917764808625
0.73,2.2704447066400926
0.735,-1.77027235698284
0.74,-2.4452342910880875
0.745,-0.03075385586421875
0.75,-2.0000000000000138
0.755,1.7789002490678387
0.76,-0.9042078055364511
0.765,-2.267652131312577
0.77,0.30587020518269115
0.775,0.3032212718959204
0.78,1.780250054808369
0.785,1.1700622351903858
0.79,1.1766892429565419
0.795,-1.0365398319618333
0.8,1.5388417685876292
0.805,0.8807164551854978
0.81,-1.3253211681863153
0.8150000000000001,1.2895780909093502
0.8200000000000001,-2.527804583027493
0.8250000000000001,-0.7946220512548473
0.8300000000000001,-0.24106393269638082
0.835,-1.6369246806896736
0.84,-0.14265830897407294
0.845,0.1585284995097978
0.85,0.7212317420824694
0.855,-0.4163120943969637
0.86,1.839560455930836
0.865,-0.29973125218577523
0.87,1.2871885669999612
0.875,2.8284271247461663
0.88,-1.5652192143391792
0.885,0.488803916057489
0.89,-1.418862764924765
0.895,-0.8754232573801007
0.9,0.8122992405822537
0.905,-0.6322745325220868
0.91,-1.971109055696507
0.915,-2.1363635029862893
0.92,0.8276998626946288
0.925,-0.03663182429999601
0.93,2.8385984042765853
0.935,0.2632220418908283
0.9400000000000001,-2.0646670953435726
0.9450000000000001,2.1623951929926783
0.9500000000000001,0.7600735106701163
0.9550000000000001,2.471194552580201
0.96,0.535574709700211
0.965,-2.3797358548081604
0.97,-2.1122466410843783
0.975,0.1337947525528552
0.98,1.2330571833955815
0.985,-1.3889810480306608
0.99,-0.39811237968266644
0.995,-3.523926786069129
